filename,misspelt_word,candidates
IMG_7476_cropped_cleaned_ocr.txt,calciumchloridemesm,
IMG_7476_cropped_cleaned_ocr.txt,firmingagent,
IMG_7522_cropped_cleaned_ocr.txt,comae,"comas,comte,combe,comake,come,comate,cumae,coxae,coma"
IMG_7522_cropped_cleaned_ocr.txt,teriyakisauceingredients,
IMG_7522_cropped_cleaned_ocr.txt,riceatoc,
IMG_7760_cropped_cleaned_ocr.txt,vitaminsb,vitamins
IMG_7760_cropped_cleaned_ocr.txt,seasapotassiumioidevitaminsbd,
IMG_7760_cropped_cleaned_ocr.txt,reducedcocoa,
IMG_7760_cropped_cleaned_ocr.txt,peaproteinfat,
IMG_7760_cropped_cleaned_ocr.txt,tcacumposphtnaullavoungs,
IMG_7760_cropped_cleaned_ocr.txt,withadded,
IMG_7760_cropped_cleaned_ocr.txt,calciumiodineand,
IMG_7760_cropped_cleaned_ocr.txt,duht,"duh,duet,dust,dunt,duct"
IMG_7760_cropped_cleaned_ocr.txt,stabiserslocustbeangumgellangum,
IMG_7760_cropped_cleaned_ocr.txt,sunowerchicorfecum,
IMG_7760_cropped_cleaned_ocr.txt,oatdrinkchocolateflavou,
IMG_7760_cropped_cleaned_ocr.txt,sterlisedingu,
IMG_7761_cropped_cleaned_ocr.txt,caramelised,caramelized
IMG_7762_cropped_cleaned_ocr.txt,flavourings,flavorings
IMG_7762_cropped_cleaned_ocr.txt,raisingagents,
IMG_7762_cropped_cleaned_ocr.txt,havour,cavour
IMG_7762_cropped_cleaned_ocr.txt,plaicrmel,
IMG_7762_cropped_cleaned_ocr.txt,oyalecithins,
IMG_7762_cropped_cleaned_ocr.txt,ingreient,ingredient
IMG_7762_cropped_cleaned_ocr.txt,oilwheatstarchglucose,
IMG_7762_cropped_cleaned_ocr.txt,biscuitswithavanilla,
IMG_7762_cropped_cleaned_ocr.txt,hatlourugrrapeseedoillm,
IMG_7762_cropped_cleaned_ocr.txt,fructosesrupcolour,
IMG_7762_cropped_cleaned_ocr.txt,gingerbreadflavoursandwich,
IMG_7762_cropped_cleaned_ocr.txt,sodiumcarbonatesammoniumcarbonatelt,
IMG_7763_cropped_cleaned_ocr.txt,turmecgl,
IMG_7763_cropped_cleaned_ocr.txt,coconutowdratsucurryower,
IMG_7763_cropped_cleaned_ocr.txt,saltdckpgroe,
IMG_7763_cropped_cleaned_ocr.txt,citricad,citric
IMG_7763_cropped_cleaned_ocr.txt,connck,"conns,conics,copeck,conch,monck,canuck,cock,conn,conned,conner,conic,connie,connect,conk"
IMG_7763_cropped_cleaned_ocr.txt,weatoureloucciumcro,
IMG_7763_cropped_cleaned_ocr.txt,silicondioxideturmericacid,
IMG_7763_cropped_cleaned_ocr.txt,andiooeaoextn,
IMG_7763_cropped_cleaned_ocr.txt,palmfatsu,
IMG_7766_cropped_cleaned_ocr.txt,sparklingglucosedrinktsugas,
IMG_7766_cropped_cleaned_ocr.txt,yelow,"yalow,below,yellow"
IMG_7766_cropped_cleaned_ocr.txt,haveanadverse,
IMG_7766_cropped_cleaned_ocr.txt,potasum,"potassium,potash,pomatum,petasus,omasum,possum"
IMG_7766_cropped_cleaned_ocr.txt,sucralose,"sucrase,surculose,sucrose"
IMG_7766_cropped_cleaned_ocr.txt,ascorbicacid,
IMG_7766_cropped_cleaned_ocr.txt,inchildren,children
IMG_7766_cropped_cleaned_ocr.txt,sorbate,"striate,cordate,sororate,sorbets,sorbet,lobate,borate,probate,adsorbate,formate,forbade,ornate,seriate,sorbose,barbate,serrate,surbase,orate"
IMG_7766_cropped_cleaned_ocr.txt,caffeineweeteer,
IMG_7766_cropped_cleaned_ocr.txt,colours,colors
IMG_7766_cropped_cleaned_ocr.txt,ingreientscn,
IMG_7766_cropped_cleaned_ocr.txt,acessfame,
