seafood,meat,fish,other,dairy
shrimp,chicken,cod,snail,milk
prawn,beef,pollock,honey,cream
crab,rabbit,salmon,beeswax,sour cream
lobster,mutton,tuna,egg,whey
crayfish,venison,hake,shellac,cheese
krill,veal,whiting,E904,
mussels,lamb,tilapia,E120,
scallop,pork,mackarel,propolis,
clam,turkey,sardines,royal jelly,
squid,duck,anchovy,gelatin,
octopus,goose,herring,rennet,
cuttlefish,quail,kipper,lard,
oyster,partridge,bonito,bone char,
periwinkle,guinea fowl,trout,tallow,
whelk,,catfish,isinglass,
sea snail,,swordfish,lysozyme,
gastropod,,basa,,
,,barramundi,,
,,snapper,,
