image,char_edit,char_edit_norm,char_ratio,char_ratio_norm,cer,cac,word_edit,word_ratio,wer,wac
IMG_7476,22,9,0.8333333333333334,0.9433962264150944,0.10714285714285714,0.8928571428571429,5,0.631578947368421,0.45454545454545453,0.5454545454545454
IMG_7522,115,93,0.5238095238095238,0.5948275862068966,0.5740740740740741,0.42592592592592593,21,0.24242424242424243,0.84,0.16000000000000003
IMG_7760,136,95,0.7414104882459314,0.8116504854368932,0.3125,0.6875,46,0.03389830508474578,0.9787234042553191,0.021276595744680882
IMG_7761,44,1,0.8468085106382979,0.995575221238938,0.004424778761061947,0.995575221238938,1,0.967741935483871,0.03225806451612903,0.967741935483871
IMG_7762,75,39,0.8419182948490231,0.9236499068901304,0.13588850174216027,0.8641114982578397,32,0.18867924528301883,0.8648648648648649,0.1351351351351351
IMG_7763,274,226,0.5302013422818792,0.5905797101449275,0.5809768637532133,0.41902313624678666,51,0.11764705882352944,0.9272727272727272,0.07272727272727275
IMG_7766,180,123,0.7192755498059509,0.8168249660786975,0.3,0.7,33,0.5806451612903225,0.5789473684210527,0.42105263157894735
IMG_8579,55,1,0.8374760994263862,0.9979879275653923,0.004016064257028112,0.9959839357429718,2,0.9589041095890412,0.05405405405405406,0.9459459459459459
IMG_8580,256,194,0.6683608640406608,0.7300275482093663,0.4226579520697168,0.5773420479302832,64,0.05128205128205132,0.9696969696969697,0.030303030303030276
IMG_8581,42,0,0.8324324324324324,1.0,0.0,1.0,0,1.0,0.0,1.0
IMG_8582,675,602,0.22425629290617854,0.2471910112359551,0.8587731811697575,0.14122681883024246,107,0.0,1.0,0.0
IMG_8583,92,3,0.8400460299194477,0.9963724304715841,0.007228915662650603,0.9927710843373494,1,0.991304347826087,0.017241379310344827,0.9827586206896551
IMG_8586,168,133,0.6779661016949152,0.7549194991055457,0.44333333333333336,0.5566666666666666,39,0.23529411764705888,0.8478260869565217,0.15217391304347827
