Summary stats: 
,count,mean,std,min,25%,50%,75%,max
char_edit,62.0,109.30645161290323,134.14411001895056,3.0,20.25,57.0,141.75,676.0
char_edit_norm,62.0,80.59677419354838,121.91645347846962,0.0,3.0,28.5,102.0,602.0
char_ratio,62.0,0.7524754885585817,0.243548259970033,0.0,0.6185400516795865,0.8695389918138734,0.9339321357285428,0.9653333333333334
char_ratio_norm,62.0,0.8062891839193445,0.25280583157056125,0.0,0.676379106472675,0.9245115206092442,0.9914207005116097,1.0
cer,62.0,0.2613365162135242,0.30244361000001885,0.0,0.01458146151542375,0.13699186991869916,0.5142862666254253,1.0
cac,62.0,0.7386634837864757,0.30244361000001885,0.0,0.4857137333745747,0.8630081300813008,0.9854185384845763,1.0
word_edit,62.0,20.387096774193548,23.04973584622273,0.0,2.0,14.0,31.0,107.0
word_ratio,62.0,0.544660992831667,0.3843886535190945,0.0,0.15626072041166383,0.6140350877192983,0.9318840579710144,1.0
wer,62.0,0.49592695223329764,0.39195140469224227,0.0,0.08602484472049687,0.46770833333333334,0.8990514905149052,1.0
wac,62.0,0.5040730477667024,0.39195140469224227,0.0,0.10094850948509478,0.5322916666666666,0.9139751552795032,1.0

analysis stats
,value
mean_cer,0.2613365162135242
min_cer,0.0
max_cer,1.0
mean_wer,0.49592695223329764
min_wer,0.0
max_wer,1.0
mean_cac,0.7386634837864757
mean_wac,0.5040730477667024
mean_word_edit,20.387096774193548
min_word_edit,0.0
max_word_edit,107.0
excellent_cer_count,19.0
good_cer_count,7.0
needs_review_cer_count,2.0
poor_cer_count,34.0
excellent_wer_count,12.0
good_wer_count,6.0
poor_wer_count,44.0
excellent_word_edit_dist_count,12.0
good_word_edit_dist_count,8.0
poor_word_edit_dist_count,42.0
total_samples,62.0
