Summary stats: 
,count,mean,std,min,25%,50%,75%,max
char_edit,1.0,9.0,,9.0,9.0,9.0,9.0,9.0
char_edit_norm,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
char_ratio,1.0,0.9431818181818182,,0.9431818181818182,0.9431818181818182,0.9431818181818182,0.9431818181818182,0.9431818181818182
char_ratio_norm,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
cer,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
cac,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
word_edit,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
word_ratio,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
wer,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
wac,1.0,1.0,,1.0,1.0,1.0,1.0,1.0

analysis stats
,value
mean_cer,0.0
min_cer,0.0
max_cer,0.0
mean_wer,0.0
min_wer,0.0
max_wer,0.0
mean_cac,1.0
mean_wac,1.0
mean_word_edit,0.0
min_word_edit,0.0
max_word_edit,0.0
excellent_cer_count,1.0
good_cer_count,0.0
needs_review_cer_count,0.0
poor_cer_count,0.0
excellent_wer_count,1.0
good_wer_count,0.0
poor_wer_count,0.0
excellent_word_edit_dist_count,1.0
good_word_edit_dist_count,0.0
poor_word_edit_dist_count,0.0
total_samples,1.0
