Summary stats: 
,count,mean,std,min,25%,50%,75%,max
char_edit,1.0,456.0,,456.0,456.0,456.0,456.0,456.0
char_edit_norm,1.0,396.0,,396.0,396.0,396.0,396.0,396.0
char_ratio,1.0,0.216123499142367,,0.216123499142367,0.216123499142367,0.216123499142367,0.216123499142367,0.216123499142367
char_ratio_norm,1.0,0.2413793103448276,,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276
cer,1.0,0.8627450980392157,,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157
cac,1.0,0.1372549019607842,,0.1372549019607842,0.1372549019607842,0.1372549019607842,0.1372549019607842,0.1372549019607842
word_edit,1.0,65.0,,65.0,65.0,65.0,65.0,65.0
word_ratio,1.0,0.0266666666666666,,0.0266666666666666,0.0266666666666666,0.0266666666666666,0.0266666666666666,0.0266666666666666
wer,1.0,0.9848484848484848,,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848
wac,1.0,0.0151515151515151,,0.0151515151515151,0.0151515151515151,0.0151515151515151,0.0151515151515151,0.0151515151515151

analysis stats
,value
mean_cer,0.8627450980392157
min_cer,0.8627450980392157
max_cer,0.8627450980392157
mean_wer,0.9848484848484848
min_wer,0.9848484848484848
max_wer,0.9848484848484848
mean_cac,0.1372549019607842
mean_wac,0.0151515151515151
mean_word_edit,65.0
min_word_edit,65.0
max_word_edit,65.0
excellent_cer_count,0.0
good_cer_count,0.0
needs_review_cer_count,0.0
poor_cer_count,1.0
excellent_wer_count,0.0
good_wer_count,0.0
poor_wer_count,1.0
excellent_word_edit_dist_count,0.0
good_word_edit_dist_count,0.0
poor_word_edit_dist_count,1.0
total_samples,1.0
