Summary stats: 
,count,mean,std,min,25%,50%,75%,max
char_edit,62.0,99.96774193548387,136.99455149413734,0.0,10.0,46.5,135.25,675.0
char_edit_norm,62.0,79.54838709677419,121.85367164118553,0.0,1.0,27.0,101.25,601.0
char_ratio,62.0,0.7798049781895421,0.25345383007206596,0.0,0.6251165704960074,0.8876440140257138,0.9676100926100926,1.0
char_ratio_norm,62.0,0.8111366172781219,0.2514223400951503,0.0,0.676379106472675,0.9296709504307301,0.9940756032209488,1.0
cer,62.0,0.25624746405106763,0.3023110949241884,0.0,0.008456051541647476,0.13635531135531137,0.5142862666254253,1.0
cac,62.0,0.7437525359489323,0.3023110949241884,0.0,0.4857137333745747,0.8636446886446887,0.9915439484583525,1.0
word_edit,62.0,20.64516129032258,23.314736614771824,0.0,2.0,14.5,31.0,107.0
word_ratio,62.0,0.5367953320706708,0.3916462115704536,0.0,0.12898799313893652,0.6315789473684211,0.9318840579710144,1.0
wer,62.0,0.4992969307525166,0.39847066736325776,0.0,0.08602484472049687,0.46770833333333334,0.917948038176034,1.0
wac,62.0,0.5007030692474834,0.3984706673632578,0.0,0.082051961823966,0.5322916666666666,0.9139751552795032,1.0

analysis stats
,value
mean_cer,0.25624746405106763
min_cer,0.0
max_cer,1.0
mean_wer,0.4992969307525166
min_wer,0.0
max_wer,1.0
mean_cac,0.7437525359489323
mean_wac,0.5007030692474834
mean_word_edit,20.64516129032258
min_word_edit,0.0
max_word_edit,107.0
excellent_cer_count,22.0
good_cer_count,6.0
needs_review_cer_count,1.0
poor_cer_count,33.0
excellent_wer_count,9.0
good_wer_count,10.0
poor_wer_count,43.0
excellent_word_edit_dist_count,13.0
good_word_edit_dist_count,9.0
poor_word_edit_dist_count,40.0
total_samples,62.0
