Summary stats: 
,count,mean,std,min,25%,50%,75%,max
char_edit,1.0,309.0,,309.0,309.0,309.0,309.0,309.0
char_edit_norm,1.0,249.0,,249.0,249.0,249.0,249.0,249.0
char_ratio,1.0,0.5737704918032787,,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787,0.5737704918032787
char_ratio_norm,1.0,0.6259314456035767,,0.6259314456035767,0.6259314456035767,0.6259314456035767,0.6259314456035767,0.6259314456035767
cer,1.0,0.5424836601307189,,0.5424836601307189,0.5424836601307189,0.5424836601307189,0.5424836601307189,0.5424836601307189
cac,1.0,0.4575163398692811,,0.4575163398692811,0.4575163398692811,0.4575163398692811,0.4575163398692811,0.4575163398692811
word_edit,1.0,66.0,,66.0,66.0,66.0,66.0,66.0
word_ratio,1.0,0.0,,0.0,0.0,0.0,0.0,0.0
wer,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
wac,1.0,0.0,,0.0,0.0,0.0,0.0,0.0

analysis stats
,value
mean_cer,0.5424836601307189
min_cer,0.5424836601307189
max_cer,0.5424836601307189
mean_wer,1.0
min_wer,1.0
max_wer,1.0
mean_cac,0.4575163398692811
mean_wac,0.0
mean_word_edit,66.0
min_word_edit,66.0
max_word_edit,66.0
excellent_cer_count,0.0
good_cer_count,0.0
needs_review_cer_count,0.0
poor_cer_count,1.0
excellent_wer_count,0.0
good_wer_count,0.0
poor_wer_count,1.0
excellent_word_edit_dist_count,0.0
good_word_edit_dist_count,0.0
poor_word_edit_dist_count,1.0
total_samples,1.0
