Summary stats: 
,count,mean,std,min,25%,50%,75%,max
char_edit,1.0,54.0,,54.0,54.0,54.0,54.0,54.0
char_edit_norm,1.0,48.0,,48.0,48.0,48.0,48.0,48.0
char_ratio,1.0,0.8627450980392157,,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157
char_ratio_norm,1.0,0.8709677419354839,,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839
cer,1.0,0.2285714285714285,,0.2285714285714285,0.2285714285714285,0.2285714285714285,0.2285714285714285,0.2285714285714285
cac,1.0,0.7714285714285715,,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.7714285714285715
word_edit,1.0,10.0,,10.0,10.0,10.0,10.0,10.0
word_ratio,1.0,0.7843137254901961,,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961
wer,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
wac,1.0,0.6666666666666667,,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.6666666666666667

analysis stats
,value
mean_cer,0.2285714285714285
min_cer,0.2285714285714285
max_cer,0.2285714285714285
mean_wer,0.3333333333333333
min_wer,0.3333333333333333
max_wer,0.3333333333333333
mean_cac,0.7714285714285715
mean_wac,0.6666666666666667
mean_word_edit,10.0
min_word_edit,10.0
max_word_edit,10.0
excellent_cer_count,0.0
good_cer_count,0.0
needs_review_cer_count,0.0
poor_cer_count,1.0
excellent_wer_count,0.0
good_wer_count,0.0
poor_wer_count,1.0
excellent_word_edit_dist_count,0.0
good_word_edit_dist_count,0.0
poor_word_edit_dist_count,1.0
total_samples,1.0
